Anomaly ID,Date,Start Time,Anomaly description,2-butanone (Trace Contaminants),Acetaldehyde (Trace Contaminants),Aux Cabin Fan #1 (L1),Aux Cabin Fan #2 (L1),bank1 Amps (Subfloor),bank2 Amps (Subfloor),bank3 Amps (Subfloor),bank4 Amps (Subfloor),Cabin Temperature (L1),Cabin Temperature (L2),Crew Quarters Humidity (Crew),Crew Quarters Radiation (Crew),Dichloromethane (Trace Contaminants),DMCPS (Trace Contaminants),Ethanol (Trace Contaminants),Ethyl Acetate (Trace Contaminants),Fuel Cell #1 Current (Subfloor),Fuel Cell #1 PQM (Subfloor),Fuel Cell #1 Stack Outlet Temp (Subfloor),Fuel Cell #2 Current (Subfloor),Fuel Cell #2 PQM (Subfloor),Fuel Cell #2 Stack Outlet Temp (Subfloor),H2O (Crew),H2O pH,HMCTS (Trace Contaminants),Humidity (L1),Humidity (L2),Main Cabin Fan #1 (L1),Main Cabin Fan #2 (L1),m-p Xylenes (Trace Contaminants),n_Butanol (Trace Contaminants),OMCTS (Trace Contaminants),o-Xylene (Trace Contaminants),ppCO2 (L1),ppCO2 (L2),ppH2 (L1),ppH2 (L2),ppH2O (L1),ppH2O (L2),ppN2 (L1),ppN2 (L2),ppO2 (L1),ppO2 (L2),Pressure (L1),Pressure (L2),Radiation (L1),Radiation (L2),Toluene (Trace Contaminants),Total Cabin Pressure (L1),Total Cabin Pressure (L2),Trimethylsilanol (Trace Contaminants),WRS Valve Flow (L2),Signature,Final Root Cause,Potential Risks,Actions Taken,End Date,End Time,Affected Susbystems
11,12/12/2014,9:09:39 AM,Main cabin fan #1 sensor is reading above nominal levels,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Main Cabin Fan is damaged,General Health hazards to crew for insufficient clean/new air flowing,Activate secondary cabin fan. Replace main fan. Deactivate auxiliary cabin fans.,12/12/2014,9:42:46 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
12,3/5/2009,1:59:23 PM,Main cabin fan #1 is oscillating within normal ranges (3700 rpm to 8500 rpm),0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Main cabin fan is running lower than 50% capacity.,Not enough oxygen to circulate cabin,Reactivate Fan (push 'On' button on floor panel 1F;verify fan has audibly turned on),3/5/2009,2:41:25 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
13,4/7/2012,8:32:30 AM,Main cabin fan #1 is oscillating within normal ranges (3700 rpm to 8500 rpm),0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Main Cabin Fan is blocked,Main Cabin Fan is blocked,Inspect Fan for damages to blade or objects blocking/impacting it - remove or replace damaged portions as applicable,4/7/2012,8:59:17 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
14,12/3/2016,8:27:53 AM,Main cabin fan #1 is oscillating within normal ranges (3700 rpm to 8500 rpm),0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Fan and Dampener Controls are malfunctioning,General Health hazards to crew for insufficient clean/new air flowing,Replace fan in question with auxiliary fan replacement,12/3/2016,9:01:26 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
15,1/27/2014,6:59:54 PM,Main cabin fan #1 is oscillating within normal ranges (3700 rpm to 8500 rpm),0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Object is blocking the ducts or fans,General Health hazards to crew for insufficient clean/new air flowing,Activate secondary cabin fan;replace the main cabin fan following procedure 3.101;deactivate secondary cabin fan,1/27/2014,8:17:48 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
16,7/9/2005,1:55:21 AM,Main cabin fan #1 is oscillating within normal ranges (3700 rpm to 8500 rpm),0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Main Cabin Fan is damaged,General Health hazards to crew for insufficient clean/new air flowing,Activate AUX fans 1 and 2; replace the main cabin fan following procedure 3.101;deactivate secondary cabin fan,7/9/2005,2:21:07 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
17,12/24/2014,11:46:36 AM,Main cabin fan #2 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin fan deactivated,Not enough oxygen to circulate cabin;Can be fatal to the crew,Follow procedure 3.101,12/24/2014,12:52:34 PM,Auxiliary Fans - can be used for contigency purposes
18,8/5/2011,1:48:52 PM,Main cabin fan #2 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Faulty sensor,Not enough oxygen to circulate cabin;Can be fatal to the crew,Replace the faulty sensor with a new one;Follow procedure 3.101,8/5/2011,3:16:08 PM,Auxiliary Fans - can be used for contigency purposes
19,6/12/2015,9:33:42 AM,Main cabin fan #2 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan blocked,Not enough oxygen to circulate cabin;Can be fatal to the crew,Turn off the fan;Remove the blockage;Follow procedure 3.101,6/12/2015,9:50:33 AM,Auxiliary Fans - can be used for contigency purposes
20,12/3/2008,5:45:53 AM,Main cabin fan #2 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main cabin fan set to run at lower than 50% capacity,Stagnant air pockets in cabin;Can be fatal the the crew,Turn off the fan;Inspect Fan for damages to blade or objects blocking/impacting it - remove or replace damaged portions as applicable;Follow procedure 3.101,12/3/2008,6:28:13 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
21,11/3/2008,10:36:03 PM,Main cabin fan #2 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan blocked,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Turn off the fan;Remove the blockage;Follow procedure 3.101,11/3/2008,11:25:52 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
22,12/5/2001,10:07:06 PM,Main cabin fan #2 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan damaged,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Follow 3.118;Shut down power of the main cabin fans;Replace Main cabin fan with a new one;Follow 3.101;Follow 3.119,12/5/2001,10:40:22 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
23,10/13/2004,2:04:16 PM,Main cabin fan #2 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Faulty sensor,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Replace the faulty sensor with a new one;Follow procedure 3.101,10/13/2004,2:41:25 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
24,4/9/2005,7:17:28 AM,Main cabin fan #2 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0001,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0000,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Warning Limit,Fan systems overheat,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Follow 3.118;Shut down power of the main cabin fans;Wait for 10 minutes;Follow 3.101;Follow 3.119,4/9/2005,8:13:38 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
25,9/7/2009,5:11:54 PM,Main cabin fan #2 sensor is reading above nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Upper Caution Limit,Power surge,Fire;Equipment damage,Follow 3.118;Shut down power of the main cabin fans;Wait for 10 minutes;Follow 3.101;Follow 3.119;observe,9/7/2009,5:40:34 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
26,2/24/2001,5:42:43 PM,Main cabin fan #2 sensor is reading above nominal levels,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #2 (L1) Exceeds Upper Warning Limit,Power surge,Stagnant air pockets can form in cabin,Inspect Fan for damages to blade or objects blocking/impacting it - remove or replace damaged portions as applicable,2/24/2001,6:32:50 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
